compte,libelle,solde_avant_cloture,solde_apres_cloture
1111,Capital social,-500000.00,-500000.00
1140,Réserve légale,-50000.00,-50000.00
1161,Report à nouveau (solde créditeur),-170118.55,-170118.55
1481,Emprunts auprès des établissements de crédit,-437508.86,-439942.29
2340,Matériel de transport,640000.00,640000.00
2351,Mobilier de bureau,60000.00,60000.00
2355,Matériel informatique,99000.00,113500.00
2486,Dépôts et cautionnements versés,27500.00,20000.00
2834,Amortissements du matériel de transport,-209333.38,-220000.05
28351,Amortissements du mobilier de bureau,-9500.00,-10000.00
28355,Amortissements du matériel informatique,-52500.00,-54091.67
3111,Marchandises,845000.00,912350.00
34210001,Clients — Groupe Immobilier Anfa Park SA,18.00,0.00
34210003,Clients — BTP Chaouia SARL,24000.00,48000.00
34210004,Clients — Clinique Al Amal SA,0.00,12000.00
34210005,Clients — EUROLUX SAS (France),427.50,0.00
3427,Clients — factures à établir,0.00,54000.00
3431,Avances et acomptes au personnel,2000.00,0.00
34552,État — TVA récupérable sur charges,127447.52,38500.00
3458,État — autres comptes débiteurs,560.00,2230.00
3463,Comptes courants des associés débiteurs,0.00,17400.00
3491,Charges constatées d'avance,9250.00,40400.00
3702,Écarts de conversion actif — augmentation des dettes circulantes,0.00,1040.00
4411,Fournisseurs (collectif — ne pas mouvementer directement),-1500.00,-1500.00
44110001,Fournisseurs — ElectroDistrib Maroc SA,-445560.00,-231000.00
44110002,"Fournisseurs — Shenzhen Brightway Lighting Co., Ltd (USD)",-72480.00,-74480.00
44110012,Fournisseurs — Transit Express SARL,-4000.00,0.00
44110013,Fournisseurs — Froid Service (auto-entrepreneur),0.00,-850.00
4417,Fournisseurs — factures non parvenues,-4560.00,-14730.00
4432,Rémunérations dues au personnel,49747.39,0.00
4441,Caisse Nationale de Sécurité Sociale,0.00,-13686.43
4452,"État — impôts, taxes et assimilés (IR salaires, RAS)",-6915.00,-14639.25
4455,État — TVA facturée,-64600.00,-11600.00
4456,État — TVA due,-180.00,-5996.51
4458,État — autres comptes créditeurs,0.00,-9000.00
4463,Comptes courants des associés créditeurs,-150000.00,-162200.00
4491,Produits constatés d'avance,0.00,-36000.00
4493,Intérêts courus et non échus à payer,0.00,-2065.28
4497,Comptes transitoires ou d'attente — créditeurs,-7500.00,0.00
4506,Provisions pour pertes de change,0.00,-1040.00
5115,Virements de fonds,50000.00,0.00
51411,Banque Alpha — compte courant,382327.26,358096.26
51412,Banque Omega — compte courant,250295.19,246075.19
5161,Caisse,-10520.00,4480.00
6111,Achats de marchandises,5287700.00,5108900.00
6114,Variation de stocks de marchandises,-35000.00,-102350.00
6125,Achats non stockés de matières et fournitures (carburant),18900.00,19000.00
61251,"Achats de fournitures non stockables (eau, électricité)",35200.00,35700.00
61253,Achats de petit outillage et petit équipement,41300.00,12300.00
61254,Achats de fournitures de bureau,9850.00,9850.00
6131,Locations et charges locatives,203000.00,173000.00
6133,Entretien et réparations,15050.00,15050.00
6134,Primes d'assurances,14450.00,16300.00
61365,Honoraires,56000.00,64000.00
6142,Transports,104637.60,105804.27
61431,Voyages et déplacements,27300.00,24300.00
61436,Réceptions,11000.00,11120.00
6145,Frais postaux et frais de télécommunications,16000.00,16000.00
6147,Services bancaires,5310.00,5696.36
6167,"Impôts, taxes et droits assimilés",18500.00,18500.00
61711,Appointements et salaires,415800.00,475200.00
61741,Cotisations de sécurité sociale,72605.82,82978.08
6193,Dotations d'exploitation aux amortissements des immobilisations corporelles,86866.69,99625.03
6311,Intérêts des emprunts et dettes,18422.82,22921.53
6331,Pertes de change propres à l'exercice,3200.00,4587.50
6393,Dotations aux provisions pour risques et charges financières,0.00,1040.00
6583,Pénalités et amendes fiscales ou pénales,0.00,385.81
7111,Ventes de marchandises au Maroc,-5118000.00,-5078000.00
7113,Ventes de marchandises à l'étranger,-520890.00,-520890.00
7124,Ventes de services produits au Maroc,-1156000.00,-1165000.00
7331,Gains de change propres à l'exercice,-1150.00,-1150.00
